id_cliente_hash,idade_cadastro_dias,valor_ultima_compra,qtd_compras_ultimos_6_meses,categoria_cliente,ticket_medio,dias_desde_ultima_compra,churn
c0000,1890,180.8,4,silver,116.58,64,0
c0001,1253,138.34,4,silver,119.95,267,0
c0002,1371,160.4,4,bronze,164.56,164,0
c0003,1795,146.39,5,bronze,124.95,283,0
c0004,1160,180.48,2,bronze,113.85,52,0
c0005,1553,157.48,2,bronze,108.94,294,1
c0006,1668,162.0,4,bronze,133.65,231,0
c0007,458,97.29,5,silver,84.21,197,1
c0008,120,131.59,2,bronze,99.89,154,1
c0009,607,279.24,2,silver,117.91,388,1
c0010,577,139.73,5,silver,97.37,254,0
c0011,1748,116.75,2,silver,115.26,346,1
c0012,1826,200.24,3,bronze,95.57,101,0
c0013,20,264.44,3,silver,200.16,229,1
c0014,1004,92.76,3,silver,173.16,278,0
c0015,1644,167.49,3,silver,138.0,273,1
c0016,271,142.08,3,bronze,117.86,176,0
c0017,1596,74.34,2,gold,207.63,110,0
c0018,246,224.1,3,silver,132.92,132,0
c0019,941,178.59,1,bronze,116.53,377,1
c0020,1634,184.29,7,bronze,132.13,101,0
c0021,613,134.86,3,silver,132.24,258,1
c0022,689,,2,silver,176.41,275,0
c0023,564,147.64,1,bronze,119.24,358,1
c0024,1441,171.43,2,bronze,203.97,164,0
c0025,517,113.5,1,bronze,84.72,116,1
c0026,1981,107.03,1,silver,147.76,30,0
c0027,895,260.13,2,bronze,79.93,392,0
c0028,961,149.57,3,bronze,192.68,175,0
c0029,1014,197.5,4,bronze,106.78,43,0
c0030,1169,177.97,1,bronze,117.67,24,0
c0031,1111,153.53,6,bronze,156.97,212,0
c0032,1023,149.52,1,gold,170.21,187,0
c0033,1991,,9,bronze,75.52,45,0
c0034,1617,,1,silver,106.15,354,0
c0035,1587,170.91,5,bronze,64.2,76,0
c0036,1403,181.33,1,bronze,125.49,151,0
c0037,1248,250.59,2,gold,115.95,305,0
c0038,688,220.83,6,gold,106.04,176,0
c0039,1978,202.96,2,bronze,92.62,27,0
c0040,937,146.19,3,bronze,104.56,267,1
c0041,438,97.08,3,bronze,90.14,153,0
c0042,1691,236.97,2,bronze,141.16,293,0
c0043,328,237.99,0,silver,180.64,77,0
c0044,1716,,2,silver,42.77,242,0
c0045,1228,212.51,3,silver,115.36,340,0
c0046,238,226.89,5,silver,103.27,93,0
c0047,97,229.87,5,bronze,139.69,33,1
c0048,895,235.28,4,bronze,81.93,192,1
c0049,81,152.66,4,silver,114.14,135,0
c0050,291,270.9,1,silver,78.42,248,0
c0051,1034,105.2,1,bronze,147.87,342,1
c0052,1940,231.7,1,bronze,123.97,370,1
c0053,937,209.64,3,silver,113.54,275,0
c0054,1618,232.42,2,bronze,134.81,373,1
c0055,1835,292.74,3,bronze,110.14,281,0
c0056,1648,269.07,1,,57.85,374,0
c0057,1262,111.29,2,gold,143.83,396,0
c0058,888,78.68,3,bronze,131.53,74,0
c0059,1033,229.01,3,bronze,113.84,10,0
c0060,539,119.1,2,bronze,159.4,2,0
c0061,998,179.26,2,,168.74,266,1
c0062,764,230.38,5,bronze,76.31,145,1
c0063,502,81.37,4,silver,88.76,298,1
c0064,1986,53.4,2,bronze,181.89,346,1
c0065,33,195.56,3,silver,176.75,299,0
c0066,203,182.66,3,bronze,90.46,162,0
c0067,392,165.25,3,gold,72.77,285,1
c0068,1938,182.31,3,,94.5,277,0
c0069,1387,128.37,3,silver,100.08,29,0
c0070,1764,89.19,2,silver,56.64,19,0
c0071,409,170.0,2,bronze,121.25,34,1
c0072,1444,121.7,4,bronze,68.79,214,0
c0073,745,81.39,3,silver,71.58,309,0
c0074,983,210.34,3,bronze,156.64,331,0
c0075,17,176.32,3,bronze,92.67,245,1
c0076,1238,204.39,2,silver,117.14,379,0
c0077,1661,120.64,1,,145.16,105,0
c0078,1330,140.52,1,bronze,152.53,97,0
c0079,317,120.06,3,bronze,106.52,4,0
c0080,1072,126.8,0,bronze,121.76,54,1
c0081,542,191.72,3,bronze,86.98,213,1
c0082,1930,133.02,6,bronze,189.9,310,0
c0083,1761,201.36,2,bronze,146.0,37,0
c0084,380,200.39,3,bronze,75.87,333,1
c0085,1024,301.51,3,bronze,120.16,299,1
c0086,1880,96.43,2,silver,148.54,51,0
c0087,1695,,2,bronze,139.18,136,0
c0088,1418,174.63,2,bronze,193.17,255,1
c0089,1283,179.16,6,silver,174.89,323,0
c0090,93,,6,bronze,98.43,327,1
c0091,1486,152.39,5,bronze,116.43,39,0
c0092,952,224.59,4,bronze,68.74,27,1
c0093,192,175.05,1,silver,129.98,198,0
c0094,496,184.86,5,silver,126.04,92,1
c0095,1086,162.56,3,gold,228.14,40,0
c0096,1456,249.27,2,gold,123.9,181,0
c0097,1020,178.71,3,bronze,36.27,312,1
c0098,1229,,1,bronze,93.12,214,0
c0099,1743,138.48,3,bronze,124.49,224,0
c0100,1375,61.87,3,bronze,69.76,245,0
c0101,728,10.0,2,gold,85.31,94,0
c0102,1290,148.19,3,,105.37,262,0
c0103,1200,260.01,3,bronze,133.67,385,1
c0104,225,182.83,4,silver,113.39,37,0
c0105,127,109.65,0,silver,84.43,273,1
c0106,1323,123.56,0,bronze,151.51,166,0
c0107,781,,1,gold,98.41,135,1
c0108,1200,189.46,2,bronze,100.03,60,0
c0109,652,182.88,0,silver,64.81,342,1
c0110,459,176.79,4,bronze,88.56,175,1
c0111,308,182.3,4,gold,146.07,152,0
c0112,769,228.32,1,bronze,55.29,388,1
c0113,1634,213.15,1,bronze,117.15,377,0
c0114,807,192.94,2,gold,148.71,39,1
c0115,765,117.43,2,gold,104.92,119,0
c0116,1155,210.67,1,gold,129.59,118,0
c0117,1957,138.95,4,silver,75.33,393,1
c0118,790,245.63,5,bronze,172.41,11,0
c0119,1184,103.74,0,bronze,164.04,25,0
c0120,884,171.74,2,bronze,129.42,336,0
c0121,1214,179.56,4,bronze,49.8,294,1
c0122,896,100.52,0,gold,78.16,168,1
c0123,1279,283.32,5,bronze,159.07,117,0
c0124,1098,267.62,1,bronze,188.52,1,0
c0125,1356,152.18,3,bronze,131.86,170,0
c0126,1913,226.3,5,bronze,169.89,221,0
c0127,310,,1,bronze,95.69,254,1
c0128,1127,23.19,2,bronze,112.42,136,0
c0129,886,195.02,5,gold,120.05,19,0
c0130,722,176.32,3,silver,136.92,104,0
c0131,486,184.99,4,bronze,58.85,90,0
c0132,113,115.39,4,silver,157.63,386,0
c0133,810,163.84,1,silver,172.9,42,0
c0134,1654,169.3,1,bronze,74.05,327,1
c0135,202,251.29,1,silver,65.79,296,1
c0136,818,200.07,3,gold,134.02,188,0
c0137,1935,179.67,4,silver,93.83,89,0
c0138,1903,271.74,4,bronze,25.17,40,0
c0139,437,146.69,4,gold,152.34,199,0
c0140,25,156.63,4,gold,126.22,313,0
c0141,1346,70.99,2,bronze,100.93,132,0
c0142,38,274.15,7,bronze,204.54,312,0
c0143,607,237.86,4,gold,125.56,95,1
c0144,999,235.01,2,silver,89.86,119,0
c0145,1749,220.13,3,bronze,124.05,374,0
c0146,194,186.61,0,silver,78.4,234,1
c0147,1327,192.93,1,bronze,89.53,203,0
c0148,1070,164.88,2,gold,135.45,223,0
c0149,271,167.78,3,bronze,97.83,260,1
c0150,1692,183.26,3,bronze,101.96,227,0
c0151,1691,270.71,4,bronze,186.76,282,0
c0152,970,213.34,3,bronze,154.39,94,0
c0153,1890,176.49,1,gold,152.11,328,0
c0154,1217,145.24,2,bronze,141.15,4,0
c0155,1808,141.9,1,bronze,139.37,106,0
c0156,1921,276.16,1,gold,178.26,125,0
c0157,1143,210.4,2,,119.22,32,0
c0158,568,184.05,4,bronze,194.22,325,1
c0159,299,159.23,4,silver,81.94,187,0
c0160,1130,113.46,2,bronze,109.8,287,0
c0161,393,175.99,5,gold,64.86,68,0
c0162,1502,232.42,4,silver,106.25,397,1
c0163,1856,156.45,5,bronze,140.74,9,0
c0164,498,166.37,4,silver,178.05,257,0
c0165,1109,166.74,2,silver,93.47,367,1
c0166,107,186.58,1,silver,120.21,349,0
c0167,369,84.42,2,bronze,105.63,251,1
c0168,760,165.88,4,bronze,90.46,391,1
c0169,1769,128.74,1,bronze,72.42,166,0
c0170,1939,233.08,2,bronze,122.43,142,0
c0171,1286,133.76,4,bronze,50.72,55,0
c0172,1171,214.62,2,gold,124.42,278,0
c0173,1143,271.47,2,gold,120.84,304,0
c0174,130,161.18,5,bronze,93.69,24,1
c0175,758,143.91,4,silver,79.56,213,0
c0176,1966,191.49,5,bronze,64.63,248,0
c0177,827,179.88,2,bronze,194.85,70,0
c0178,434,120.38,4,bronze,66.32,203,1
c0179,486,207.66,3,gold,182.31,392,0
c0180,1429,300.93,4,bronze,144.01,318,1
c0181,85,164.51,3,silver,105.44,380,1
c0182,1939,167.83,5,gold,73.72,211,1
c0183,1753,117.3,6,bronze,161.7,370,0
c0184,1139,199.15,2,silver,189.19,385,1
c0185,940,105.18,5,bronze,82.64,330,0
c0186,1525,113.58,3,silver,108.05,176,0
c0187,1099,256.78,1,silver,162.06,213,0
c0188,959,125.67,3,silver,133.43,185,0
c0189,651,244.88,4,gold,200.0,120,0
c0190,899,271.46,2,silver,97.19,228,1
c0191,1505,195.56,2,gold,141.69,261,1
c0192,119,213.2,4,bronze,69.96,333,1
c0193,60,297.14,2,silver,203.84,61,1
c0194,1443,168.2,2,bronze,90.79,205,1
c0195,750,144.42,4,bronze,31.68,247,1
c0196,1609,,3,bronze,114.97,245,0
c0197,70,182.5,7,silver,114.42,27,1
c0198,1815,268.75,2,silver,196.62,294,0
c0199,254,237.58,7,bronze,106.45,6,0
c0200,837,123.47,1,gold,119.49,257,1
c0201,1934,128.68,2,bronze,143.74,286,0
c0202,225,149.75,4,bronze,183.45,120,0
c0203,1318,197.54,1,silver,117.47,137,0
c0204,1458,167.68,1,gold,161.58,112,0
c0205,862,192.87,3,silver,140.72,279,0
c0206,167,,2,bronze,108.15,85,1
c0207,1052,162.07,1,bronze,123.1,312,1
c0208,872,177.59,3,silver,121.15,119,0
c0209,1746,192.4,4,,83.36,334,0
c0210,1367,174.96,2,silver,168.55,385,1
c0211,694,210.21,3,silver,64.58,246,1
c0212,125,292.25,6,,166.85,8,0
c0213,1184,215.52,3,gold,158.18,338,1
c0214,566,183.35,2,bronze,116.28,302,1
c0215,1370,78.83,5,silver,89.38,263,1
c0216,1729,,4,silver,110.94,360,0
c0217,717,63.2,7,,138.91,370,1
c0218,1807,95.46,3,silver,149.72,179,1
c0219,1043,231.28,5,silver,131.48,358,0
c0220,1066,222.37,4,silver,159.69,208,1
c0221,1532,171.0,4,,97.7,18,0
c0222,1580,77.4,4,gold,129.38,207,0
c0223,1819,157.72,4,gold,57.27,107,0
c0224,1998,139.28,5,bronze,150.55,294,0
c0225,310,218.21,4,gold,126.13,156,0
c0226,831,315.46,0,silver,103.38,294,0
c0227,1867,193.02,2,bronze,166.46,101,0
c0228,622,133.24,1,silver,147.66,337,0
c0229,20,109.77,2,bronze,7.34,71,1
c0230,1156,176.63,3,silver,121.6,82,0
c0231,1508,169.39,2,silver,61.8,349,0
c0232,1488,110.91,4,silver,162.67,294,0
c0233,1622,186.98,3,bronze,219.56,10,0
c0234,1291,110.95,3,silver,99.26,179,1
c0235,282,246.73,8,silver,122.98,73,0
c0236,1695,243.76,4,gold,109.96,354,0
c0237,843,245.09,0,bronze,134.03,304,1
c0238,1696,151.56,4,silver,145.78,307,0
c0239,1632,210.87,3,gold,171.49,90,0
c0240,1941,172.08,2,bronze,80.5,289,0
c0241,38,156.67,6,bronze,182.87,104,0
c0242,1733,159.65,5,bronze,82.74,243,0
c0243,1260,102.02,3,bronze,131.08,387,1
c0244,975,93.37,2,bronze,166.34,318,1
c0245,1588,227.66,6,bronze,148.53,305,1
c0246,1904,168.53,1,bronze,82.46,63,0
c0247,1030,192.99,2,silver,91.92,180,1
c0248,184,240.1,5,bronze,101.51,229,1
c0249,1454,76.01,2,silver,117.95,55,0
c0250,469,132.95,3,bronze,165.88,252,1
c0251,460,190.52,5,bronze,68.33,108,0
c0252,393,203.53,1,silver,138.67,397,1
c0253,405,157.38,1,bronze,144.4,392,1
c0254,1820,241.75,5,silver,142.33,209,0
c0255,732,192.62,2,bronze,138.65,316,1
c0256,221,107.2,3,silver,180.73,382,1
c0257,367,124.15,2,gold,139.51,28,0
c0258,795,228.33,4,bronze,154.28,78,0
c0259,698,207.83,4,silver,142.54,283,1
c0260,627,66.06,2,silver,191.72,77,0
c0261,1896,260.86,1,bronze,44.01,151,0
c0262,1734,215.88,6,gold,171.28,356,0
c0263,1150,260.6,3,bronze,109.56,288,1
c0264,1972,156.98,4,bronze,108.77,181,0
c0265,686,162.26,1,silver,81.22,118,0
c0266,283,112.41,4,silver,45.25,167,0
c0267,550,332.22,0,silver,104.72,52,1
c0268,187,169.47,4,gold,92.51,338,1
c0269,1904,275.25,4,bronze,139.77,8,0
c0270,445,141.16,0,silver,61.11,53,0
c0271,894,189.83,4,silver,177.26,118,1
c0272,412,79.72,3,gold,130.88,159,0
c0273,1960,157.03,4,silver,110.08,344,0
c0274,324,239.03,4,silver,91.62,298,1
c0275,1035,104.9,1,bronze,88.51,356,0
